cas,odp,gwp100_ar6,gwp100_fallback,species_key,source,notes
359-11-5,,,0.005,Trifluoroethylene,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
359-13-7,,,6.18,"2,2-difluoroethanol",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
359-15-9,,,136.0,Difluoro(methoxy)methane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
359-35-3,0.0,1260.0,1100.0,"1,1,2,2-tetrafluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc134; ODP inferred 0 (low-ODP fluorinated species)
359-70-6,,,10300.0,Pentadecafluorotriethylamine,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
360-89-4,,,1.97,Octafluoro-2-buene,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
371-62-0,,,0.53,2-fluoroethanol,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
373-80-8,,18500.0,18500.0,Pentafluoro(trifluoromethyl)-lambda6-sulfane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=sf5cf3
374-07-2,0.0,,7420.0,"1,1-dichloro-1,2,2,2-tetrafluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
374-27-6,,,0.182,"3,3,4,4,4-pentafluorobut-1-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
374-31-2,,,92.4,"1,3,3,4,4-pentafluorocyclobutene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
375-01-9,,,36.5,"2,2,3,3,4,4,4-heptafluorobutan-1-ol",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
375-03-1,,576.0,576.0,"1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfe347mcc3
375-17-7,0.0,,2890.0,"1,1,1,2,2,3,3,4,4-nonafluorobutane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
378-16-5,,1.6,1.6,"1,1,1,2,2-pentafluoro-3-methoxypropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfe365mcf3
