"Category","Sub Category","Units","1-Acetylpiperidine","4-Acetylmorpholine","Hexahydro-1H-azepine-1-carbaldehyde","N-Formylpiperidine","Butanedial","Tetramethylene sulfoxide","1,2-Cyclohexanedione","2-Methoxy-1,3-dioxolane","2-Methylpyrazine","3-Methoxypropionitrile","Acetone","Caprolactone","Cyclobutanone","Cycloheptanone","Cyclopentanone","Cyrene","Diisopropyl methylphosphonate","Butyl sulfoxide","Dimethyl sulfoxide","Ethyl cyanoacetate","1,3-Dioxolan-2-one, 4-[(acetyloxy)methyl]-","Methyl acetoacetate","Methyl cyanoacetate","N,N-Diethyl Acetamide","N,N-Diethylformamide","1-Butylpyrrolidin-2-one","Triethyl phosphate","γ-Butyrolactone","Î³-Valerolactone","N-methyl-2-pyrrolidone","β-Methyl-δ-valerolactone","3,4-(Methylenedioxy)benzaldehyde","Octadecylamine","PFOS - Heptadecafluorooctanesulfonic acid solution"
"Acute Human Effects","Exposure Limits","Memo for Key phrases","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acute Human Effects","IDLH","ppm","","","","","","","","","","","2500.00","","","","","","","","","","","","","","","","","","","","","","",""
"Acute Human Effects","IDLH","Memo for ppm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acute Human Effects","Specific Target Organ Toxicity - STOT Single Exposure","GHS Category - STOT - Single Exposure","6","","6","","","","","","","","6","","","","","","6","","","6","","","","","","","6","6","","6","","","",""
"Acute Human Effects","Specific Target Organ Toxicity - STOT Single Exposure","Memo for GHS Category - STOT - Single Exposure","","","","","","","","","","","","","","","","","","","","Respiratory system","","","","","","","SciFinder Narcosis","","","SciFinder","","","",""
"Acute Human Effects","Specific Target Organ Toxicity - STOT Single Exposure","Key Phrases","","","","","","","","","","","6","","","8","","","6","","","","","6","","","","","6","6","","6","","6","","8"
"Acute Human Effects","Specific Target Organ Toxicity - STOT Single Exposure","Memo for Key Phrases","","","","","","","","","","","","","","high-dose animal studies include excitement, cardiac arrhythmias, and coma","","","cholinesterase inhibitor in animal studies","","","","","May cause CNS depression","","","","","","","","SciFinder","","CNS depression","","Pubchem - shown to exert toxic effects on the central nervous system"
"Acute Human Effects","Specific Target Organ Toxicity - STOT Single Exposure","GHS Category - STOT - Repeated Exposure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acute Human Effects","Specific Target Organ Toxicity - STOT Single Exposure","Memo for GHS Category - STOT - Repeated Exposure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acute Human Effects","Specific Target Organ Toxicity - STOT Other Organ Effects","GHS Category - STOT - Single Exposure","6","","","6","","6","6","","","6","6","2","","","","","6","","2","","","","","6","6","","2","","2","6","6","","",""
"Acute Human Effects","Specific Target Organ Toxicity - STOT Other Organ Effects","Memo for GHS Category - STOT - Single Exposure","","","","","","","Respiratory tract","","","","","","","","","","","","","","","","","SDS","","","","","","SDS","","","",""
"Acute Human Effects","Specific Target Organ Toxicity - STOT Other Organ Effects","GHS H-Phrase - Single Exposure","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","",""
"Acute Human Effects","Specific Target Organ Toxicity - STOT Other Organ Effects","Memo for GHS H-Phrase - Single Exposure","","","","","","","","","","","","","","","","","","","","","","","","","","","EPA Chemical Dashboard, Japanese NITE GHS recommendation, SciFinder","","","","","","",""
"Acute Human Effects","Health","NFPA/HMIS 0,1,2,3,4","","6","","","4","2","4","2","6","6","6","","2","6","2","6","6","2","6","6","4","6","6","6","6","6","6","6","2","6","","6","6","8"
"Acute Human Effects","Health","Memo for NFPA/HMIS 0,1,2,3,4","","","","","","","","","","","","","","SDS","","","SDS","","","","","SDS","SDS","","","","","","","","","","",""
"Chronic Human Effects","Carcinogen","IARC Category","","","","","","","","","2","","","2","","","","","","","2","","","","","2","","","2","4","2","","","","",""
"Chronic Human Effects","Carcinogen","Memo for IARC Category","","","","","","","","","SDS","","","","","","","","","","","","","","","SDS","","","","","","","","","",""
"Chronic Human Effects","Carcinogen","EPA CLASS Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chronic Human Effects","Carcinogen","Memo for EPA CLASS Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chronic Human Effects","Carcinogen","ACGIH Category","","","","","","","","","","","","2","","","","","","","","","","","","","","","2","","","","","","",""
"Chronic Human Effects","Carcinogen","Memo for ACGIH Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chronic Human Effects","Carcinogen","OSHA Category","2","2","","2","2","2","2","2","2","2","","2","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","","2","2","2","2","2",""
"Chronic Human Effects","Carcinogen","Memo for OSHA Category","","","","","","","","","SDS","","","","","","","","","","","","","","","SDS","","","","","","","","","",""
"Chronic Human Effects","Carcinogen","ECHA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chronic Human Effects","Carcinogen","Memo for ECHA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chronic Human Effects","Carcinogen","Key Phrases","2","2","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","2","2","2","2","2","6"
"Chronic Human Effects","Carcinogen","Memo for Key Phrases","","","","","","","","","SDS","","","","","","","","","","","","","","","SDS","","","","","","","","","",""
"Chronic Human Effects","Carcinogen","GHS H Phrases","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","6"
"Chronic Human Effects","Carcinogen","Memo for GHS H Phrases","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SDS"
"Chronic Human Effects","Carcinogen","GHS Category","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","6"
"Chronic Human Effects","Carcinogen","Memo for GHS Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SDS"
"Chronic Human Effects","Carcinogen","Prop 65 Category","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","",""
"Chronic Human Effects","Carcinogen","Memo for Prop 65 Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chronic Human Effects","Mutagen/ Teratogen","Key Phrases","","2","","","","","4","4","4","4","","2","4","4","","2","4","4","4","4","4","4","4","4","","2","4","","2","2","","","2",""
"Chronic Human Effects","Mutagen/ Teratogen","Memo for Key Phrases","","","","","","","","","","","","","","","","OECD Test Guidelines 471, 476 & 487","","","","","","","","","","SDS Ames test; micronucleus;  In vitro mammalian cell gene mutation test","OECD Test Guideline 476","","","SDS","","","SDS OECD Test Guideline 471 negative",""
"Chronic Human Effects","Mutagen/ Teratogen","GHS H Phrase","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","",""
"Chronic Human Effects","Mutagen/ Teratogen","Memo for GHS H Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chronic Human Effects","Mutagen/ Teratogen","GHS Category","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","",""
"Chronic Human Effects","Mutagen/ Teratogen","Memo for GHS Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chronic Human Effects","Reproductive/ Developmental","Key Phrases","","6","","","","","4","4","4","4","","","4","4","","","4","4","","4","4","4","4","4","","4","6","","2","8","","6","4","8"
"Chronic Human Effects","Reproductive/ Developmental","Memo for Key Phrases","","","","","","","","","","","","","","","","","","","","","","","","","","","EPA Chemical Dashboard - NITE Japanese GHS study, not adopted elsewhere","","","","","","","SDS"
"Chronic Human Effects","Reproductive/ Developmental","GHS H Phrases","","6","","","","","","","","","","","","","","","","","","","","","","","","","6","","","8","","6","","8"
"Chronic Human Effects","Reproductive/ Developmental","Memo for GHS H Phrases","","","","","","","","","","","","","","","","","","","","","","","","","","","SciFinder","","","SciFinder","","SDS","","SDS"
"Chronic Human Effects","Reproductive/ Developmental","GHS Category","","6","","","","","","","","","","","","","","","","","","","","","","","","","6","","","10","","6","","8"
"Chronic Human Effects","Reproductive/ Developmental","Memo for GHS Category","","","","","","","","","","","","","","","","","","","","","","","","","","","SciFinder","","","SciFinder","","","","SDS"
"Chronic Human Effects","Reproductive/ Developmental","Prop 65 Category","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","8","","","",""
"Chronic Human Effects","Reproductive/ Developmental","Memo for Prop 65 Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
