cas,D,P,H,RER,smiles,source
1759-28-0,18.01,5.48,6.02,,,doss_bootstrap
17832-28-9,16.3,6.54,10.41,,,doss_bootstrap
17865-32-6,15.1,2.05,1.79,,,doss_bootstrap
1795-16-0,16.17,0.1,0.1,,,doss_bootstrap
1797-74-6,17.61,3.67,5.23,,,doss_bootstrap
17980-47-1,13.54,2.44,1.72,,,doss_bootstrap
18085-02-4,16.54,4.9,6.96,,,doss_bootstrap
18138-04-0,17.11,6.17,3.61,,,doss_bootstrap
18230-61-0,13.41,1.96,1.36,,,doss_bootstrap
1825-61-2,13.59,2.77,2.91,,,doss_bootstrap
18368-91-7,17.0,3.41,5.13,,,doss_bootstrap
18395-30-7,13.47,2.71,2.62,,,doss_bootstrap
18479-58-8,16.0,3.44,6.4,,,doss_bootstrap
18640-74-9,17.38,4.83,5.24,,,doss_bootstrap
1866-31-5,17.88,3.42,5.0,,,doss_bootstrap
18720-65-5,15.77,3.66,8.04,,,doss_bootstrap
1878-18-8,16.11,3.84,3.99,,,doss_bootstrap
18800-53-8,19.45,3.08,4.54,,,doss_bootstrap
1885-38-7,18.65,8.12,5.29,,,doss_bootstrap
1888-91-1,18.9,8.7,4.8,,,doss_bootstrap
1921-70-6,15.63,0.61,1.08,,,doss_bootstrap
19550-03-9,15.76,3.33,7.0,,,doss_bootstrap
19550-08-4,15.89,2.62,6.62,,,doss_bootstrap
1975-78-6,16.04,5.92,3.55,,,doss_bootstrap
19788-49-9,16.89,6.82,8.01,,,doss_bootstrap
19819-98-8,18.5,5.32,10.28,,,doss_bootstrap
19847-12-2,19.63,16.59,6.48,,,doss_bootstrap
20125-84-2,16.6,4.6,10.8,,,doss_bootstrap
2021-28-5,17.41,3.84,5.08,,,doss_bootstrap
2031-67-6,13.77,3.22,2.73,,,doss_bootstrap
2032-34-0,15.87,9.69,5.52,,,doss_bootstrap
2044-64-6,17.75,12.89,9.73,,,doss_bootstrap
2050-01-3,15.49,3.21,3.94,,,doss_bootstrap
2051-31-2,16.03,3.49,7.49,,,doss_bootstrap
2051-78-7,15.99,4.21,5.4,,,doss_bootstrap
2052-14-4,17.9,4.8,11.7,,,doss_bootstrap
20662-84-4,16.82,6.3,4.74,,,doss_bootstrap
20665-85-4,18.08,7.88,6.55,,,doss_bootstrap
2084-18-6,15.92,3.83,3.74,,,doss_bootstrap
21020-27-9,15.43,3.67,2.85,,,doss_bootstrap
2146-71-6,16.05,2.84,3.48,,,doss_bootstrap
2163-42-0,17.17,9.59,21.23,,,doss_bootstrap
2182-55-0,16.52,3.19,3.53,,,doss_bootstrap
21834-92-4,17.44,4.77,3.51,,,doss_bootstrap
21835-01-8,18.44,10.37,12.07,,,doss_bootstrap
2186-92-7,17.84,6.07,5.68,,,doss_bootstrap
2203-80-7,15.33,2.63,2.59,,,doss_bootstrap
2206-26-0,17.3,20.26,16.65,,,doss_bootstrap
2207-04-7,16.2,0.1,0.1,,,doss_bootstrap
2212-32-0,15.97,4.96,9.73,,,doss_bootstrap
22323-82-6,16.8,7.48,10.95,,,doss_bootstrap
2234-20-0,17.8,2.8,3.32,,,doss_bootstrap
2243-27-8,16.0,6.34,3.63,,,doss_bootstrap
2311-46-8,15.76,3.41,4.46,,,doss_bootstrap
2315-68-6,17.52,5.71,3.97,,,doss_bootstrap
2344-70-9,17.91,4.43,9.49,,,doss_bootstrap
2346-00-1,18.31,10.38,5.57,,,doss_bootstrap
2351-90-8,16.34,3.52,4.81,,,doss_bootstrap
23550-40-5,16.76,5.67,3.92,,,doss_bootstrap
2365-48-2,17.43,8.99,10.49,,,doss_bootstrap
23747-48-0,18.4,7.47,4.93,,,doss_bootstrap
23783-42-8,16.39,7.06,10.7,,,doss_bootstrap
2393-23-9,18.9,6.4,8.3,0.5,COc1ccc(CN)cc1,hspip_cli
2396-78-3,16.42,4.3,5.68,,,doss_bootstrap
2396-83-0,16.3,4.27,5.39,,,doss_bootstrap
2396-84-1,16.9,4.2,5.6,,,doss_bootstrap
2408-37-9,16.71,4.93,2.29,,,doss_bootstrap
24168-70-5,17.38,7.11,4.81,,,doss_bootstrap
2425-74-3,16.07,11.65,9.42,,,doss_bootstrap
2432-51-1,17.25,4.78,4.3,,,doss_bootstrap
24332-20-5,15.64,6.15,5.42,,,doss_bootstrap
2445-77-4,15.58,2.7,3.51,,,doss_bootstrap
2445-78-5,15.65,2.46,3.31,,,doss_bootstrap
2446-83-5,17.17,11.64,6.83,,,doss_bootstrap
24683-00-9,17.31,7.38,4.86,,,doss_bootstrap
24800-44-0,16.6,6.96,12.46,,,doss_bootstrap
24892-49-7,16.41,6.02,11.88,,,doss_bootstrap
2517-43-3,15.3,5.4,13.6,,,doss_bootstrap
2524-52-9,18.14,9.21,5.79,,,doss_bootstrap
25354-97-6,16.23,2.79,5.95,,,doss_bootstrap
25415-62-7,15.77,3.12,4.21,,,doss_bootstrap
25498-49-1,16.22,5.93,8.27,,,doss_bootstrap
2554-06-5,16.81,0.1,0.1,,,doss_bootstrap
2555-49-9,17.75,5.5,6.63,,,doss_bootstrap
2566-97-4,16.5,2.44,3.47,,,doss_bootstrap
25680-58-4,17.92,9.02,6.19,,,doss_bootstrap
2568-90-3,15.66,4.2,4.0,,,doss_bootstrap
25773-40-4,17.5,7.97,5.19,,,doss_bootstrap
2591-86-8,18.7,10.6,7.8,,,doss_bootstrap
26266-58-0,16.67,2.21,2.82,,,doss_bootstrap
26896-48-0,17.85,5.89,12.45,,,doss_bootstrap
26939-18-4,15.87,5.94,2.49,,,doss_bootstrap
27216-37-1,16.46,3.66,4.97,,,doss_bootstrap
27538-10-9,17.83,10.68,11.16,,,doss_bootstrap
27593-23-3,16.79,10.31,5.41,,,doss_bootstrap
27625-35-0,15.58,2.7,3.51,,,doss_bootstrap
27871-49-4,17.07,8.59,14.64,,,doss_bootstrap
28069-72-9,17.0,4.61,9.15,,,doss_bootstrap
2825-82-3,17.17,1.94,1.83,,,doss_bootstrap
2847-30-5,18.37,9.76,6.92,,,doss_bootstrap
287-27-4,18.8,7.8,9.4,,,doss_bootstrap
2882-20-4,19.73,9.24,5.55,,,doss_bootstrap
2916-68-9,14.39,4.56,9.34,,,doss_bootstrap
2935-44-6,16.6,7.29,16.0,,,doss_bootstrap
29387-86-8,15.99,5.68,9.85,,,doss_bootstrap
293-96-9,16.8,0.1,0.1,,,doss_bootstrap
2943-75-1,13.86,2.2,1.64,,,doss_bootstrap
2947-61-7,18.52,8.54,5.2,,,doss_bootstrap
2987-16-8,15.16,6.18,4.17,,,doss_bootstrap
29911-27-1,15.6,6.1,11.0,,,doss_bootstrap
29911-28-2,15.7,6.5,10.0,,,doss_bootstrap
2996-92-1,14.84,2.77,3.18,,,doss_bootstrap
29976-53-2,18.91,14.48,5.85,,,doss_bootstrap
300-87-8,17.14,7.3,5.63,,,doss_bootstrap
301-00-8,16.64,2.57,3.51,,,doss_bootstrap
3025-30-7,16.69,3.13,4.47,,,doss_bootstrap
3068-00-6,17.89,11.39,25.06,,,doss_bootstrap
3069-40-7,13.73,2.3,2.29,,,doss_bootstrap
3069-42-9,13.93,1.65,1.31,,,doss_bootstrap
3074-71-3,15.19,0.1,0.1,,,doss_bootstrap
3178-22-1,15.66,0.1,0.1,,,doss_bootstrap
3195-78-6,17.14,10.41,7.63,,,doss_bootstrap
3208-16-0,16.98,4.72,4.93,,,doss_bootstrap
3230-69-1,16.8,5.19,10.48,,,doss_bootstrap
3234-28-4,16.2,2.98,2.68,,,doss_bootstrap
32360-05-7,16.01,1.77,2.37,,,doss_bootstrap
32974-92-8,18.34,10.56,5.19,,,doss_bootstrap
3301-94-8,16.4,11.26,4.45,,,doss_bootstrap
33100-27-5,17.5,7.95,7.79,,,doss_bootstrap
